Date,Country,State(USA only),City,Title
20 Jun 2023, Canada,,Toronto,The Music of Alan Menken,"return overlib('If childhood has a soundtrack, there’s at least one Alan Menken song on it. The composer ascended to superstardom when he wrote the unforgettable songs and scores for many of the films of the Disney Renaissance—including The Little Mermaid, Beauty and the Beast, and Aladdin—which e')"
21 Jun 2023, Czech Republic,,Praha (Prague),Open Air Concert,"return overlib('The Czech Philharmonic Orchestra is pleased to end their season away from the Rudolfinum for a truly gigantic audience with the outdoor concert at its traditional venue, Hradčany Square. This time, we will be presenting film music by<BR>Ennio Morricone<BR>John Williams<BR>and other great cinematic ')"
21 Jun 2023, Czech Republic,,Praha (Prague),Open Air Concert,"return overlib('Rudolfinum is pleased to end their season away from the Rudolfinum for a truly gigantic audience with the outdoor concert at its traditional venue, Hradčany Square. This time, we will be presenting film music by Ennio Morricone, John Williams, and other great cinematic composers.')"
21 Jun 2023, Canada,,Toronto,The Music of Alan Menken,"return overlib('If childhood has a soundtrack, there’s at least one Alan Menken song on it. The composer ascended to superstardom when he wrote the unforgettable songs and scores for many of the films of the Disney Renaissance—including The Little Mermaid, Beauty and the Beast, and Aladdin—which e')"
22 Jun 2023, Belgium,,Bruxelles / Brussel (Brussels),Hans Zimmer Live – Europe Tour 2023,"return overlib('Following the major success of his recent tour across Europe, Hans Zimmer is excited to announce the continuation of this smash-hit tour.<BR><BR>Starting in April 2023, the world-renowned film composer will return to Europe with his extraordinary band and orchestra for the “Hans Zimmer Live &n')"
22 Jun 2023, Canada,,Toronto,The Music of Alan Menken,"return overlib('If childhood has a soundtrack, there’s at least one Alan Menken song on it. The composer ascended to superstardom when he wrote the unforgettable songs and scores for many of the films of the Disney Renaissance—including The Little Mermaid, Beauty and the Beast, and Aladdin—which e')"
23 Jun 2023, USA,"Washington, D.C.","Washington, DC",Music of Star Wars,"return overlib('Journey through a galaxy far, far away with a selection of music from the original Star Wars films composed by John Williams and Rogue One composed by Michael Giacchino.<BR><BR>Experience the soundtrack to your favorite movie moments from themes that embody cherished characters like Luke and Leia to')"
23 Jun 2023, France,,Paris,Hans Zimmer Live – Europe Tour 2023,"return overlib('Following the major success of his recent tour across Europe, Hans Zimmer is excited to announce the continuation of this smash-hit tour.<BR><BR>Starting in April 2023, the world-renowned film composer will return to Europe with his extraordinary band and orchestra for the “Hans Zimmer Live &n')"
23 Jun 2023, USA,Utah,Salt Lake City,Star Wars: The Force Awakens - In Concert,"return overlib('John Williams - Star Wars: The Force Awakens<BR><BR>Thirty years after the defeat of the Empire, Luke Skywalker has vanished and a new threat has risen: The First Order, led by the mysterious Supreme Leader Snoke and his dark side enforcer, Kylo Ren. General Leia Organa’s military force, the R')"
24 Jun 2023, USA,"Washington, D.C.","Washington, DC",Music of Star Wars,"return overlib('Journey through a galaxy far, far away with a selection of music from the original Star Wars films composed by John Williams and Rogue One composed by Michael Giacchino.<BR><BR>Experience the soundtrack to your favorite movie moments from themes that embody cherished characters like Luke and Leia to')"
24 Jun 2023, France,,Paris,Hans Zimmer Live – Europe Tour 2023,"return overlib('Following the major success of his recent tour across Europe, Hans Zimmer is excited to announce the continuation of this smash-hit tour.<BR><BR>Starting in April 2023, the world-renowned film composer will return to Europe with his extraordinary band and orchestra for the “Hans Zimmer Live &n')"
24 Jun 2023, USA,Utah,Salt Lake City,Star Wars: The Force Awakens - In Concert,"return overlib('John Williams - Star Wars: The Force Awakens<BR><BR>Thirty years after the defeat of the Empire, Luke Skywalker has vanished and a new threat has risen: The First Order, led by the mysterious Supreme Leader Snoke and his dark side enforcer, Kylo Ren. General Leia Organa’s military force, the R')"
24 Jun 2023, Netherlands,,Amsterdam,Golden Age of Hollywood,"return overlib('Netherlands Philharmonic Orchestra<BR>John Wilson, conductor<BR>Howard McGill, saxophone<BR><BR>The Netherlands Philharmonic Orchestra conducted by John Wilson takes you back to the glory days of Hollywood. Major cinema hits from Hollywood\'s golden years come to life in the concert hall with nearly')"
25 Jun 2023, USA,"Washington, D.C.","Washington, DC",Music of Star Wars,"return overlib('Journey through a galaxy far, far away with a selection of music from the original Star Wars films composed by John Williams and Rogue One composed by Michael Giacchino.<BR><BR>Experience the soundtrack to your favorite movie moments from themes that embody cherished characters like Luke and Leia to')"
25 Jun 2023, Netherlands,,Amsterdam,Golden Age of Hollywood,"return overlib('Netherlands Philharmonic Orchestra<BR>John Wilson, conductor<BR>Howard McGill, saxophone<BR><BR>The Netherlands Philharmonic Orchestra conducted by John Wilson takes you back to the glory days of Hollywood. Major cinema hits from Hollywood\'s golden years come to life in the concert hall with nearly')"
29 Jun 2023, Canada,,Toronto,Marvel Studios’ Black Panther in Concert,"return overlib('Ludwig Göransson - Marvel Studios’ Black Panther<BR><BR>In 2018, Marvel Studios’ Black Panther quickly became a global sensation and cultural phenomenon, showing a new dimension of what superhero films could be. Rolling Stone raved, “The film lights up the screen with a full-t')"
29 Jun 2023, USA,Illinois,Chicago,Star Wars: The Force Awakens — In Concert,"return overlib('John Williams - Star Wars Episode VII: The Force Awakens<BR><BR>The iconic music of John Williams weaves together a nine-film saga that spans half a century. Released nearly four decades after the original film in 1977, The Force Awakens brought Star Wars and the magic of Williams’ music to a ')"
30 Jun 2023, USA,Wisconsin,Milwaukee,Jaws,"return overlib('John Williams - Jaws<BR><BR>Thrills await in this unforgettable film-with-live-orchestra experience! Stephen Spielberg’s original summer movie blockbuster, with an Academy Award®-winning score by John Williams, became a cultural phenomenon in 1975 and set the standard for edge-of-your-seat')"
30 Jun 2023, Switzerland,,Genève (Geneva,Bugs Bunny at the Symphony,"return overlib('l\'Orchestre de la Suisse Romande<BR>George Daugherty, composer<BR>David Ka Lik Wong, composer<BR>George Daugherty, conductor<BR><BR>BUGS BUNNY AT THE SYMPHONY is a fantastic fusion of the world\'s most iconic and beloved Warner Bros. classic Looney Tunes projected on the big screen, while their cla')"
30 Jun 2023, Canada,,Toronto,Marvel Studios’ Black Panther in Concert,"return overlib('Ludwig Göransson - Marvel Studios’ Black Panther<BR><BR>In 2018, Marvel Studios’ Black Panther quickly became a global sensation and cultural phenomenon, showing a new dimension of what superhero films could be. Rolling Stone raved, “The film lights up the screen with a full-t')"
30 Jun 2023, USA,Illinois,Chicago,Star Wars: The Force Awakens — In Concert,"return overlib('John Williams - Star Wars Episode VII: The Force Awakens<BR><BR>The iconic music of John Williams weaves together a nine-film saga that spans half a century. Released nearly four decades after the original film in 1977, The Force Awakens brought Star Wars and the magic of Williams’ music to a ')"
01 Jul 2023, USA,Wisconsin,Milwaukee,Jaws,"return overlib('John Williams - Jaws<BR><BR>Thrills await in this unforgettable film-with-live-orchestra experience! Stephen Spielberg’s original summer movie blockbuster, with an Academy Award®-winning score by John Williams, became a cultural phenomenon in 1975 and set the standard for edge-of-your-seat')"
01 Jul 2023, Switzerland,,Genève (Geneva,Bugs Bunny at the Symphony,"return overlib('l\'Orchestre de la Suisse Romande<BR>George Daugherty, composer<BR>David Ka Lik Wong, composer<BR>George Daugherty, conductor<BR><BR>BUGS BUNNY AT THE SYMPHONY is a fantastic fusion of the world\'s most iconic and beloved Warner Bros. classic Looney Tunes projected on the big screen, while their cla')"
01 Jul 2023, USA,Illinois,Chicago,Star Wars: The Force Awakens — In Concert,"return overlib('John Williams - Star Wars Episode VII: The Force Awakens<BR><BR>The iconic music of John Williams weaves together a nine-film saga that spans half a century. Released nearly four decades after the original film in 1977, The Force Awakens brought Star Wars and the magic of Williams’ music to a ')"
15 Jul 2023, USA,Pennsylvania,Allentown,Disney In Concert: A Magical Celebration,"return overlib('MAGICAL. This new Disney in Concert presentation will be an unforgettable musical adventure! The ASO will be joined on stage with stellar Broadway vocalists for a magical celebration that includes selections from The Little Mermaid, Aladdin, Hercules, Beauty and the Beast, The Lion King, Tangled, Fr')"
13 Aug 2023, USA,California,Santa Rosa,E.T. The Extra Terrestrial In Concert,"return overlib('John Williams - E.T.<BR><BR>Don’t miss Steven Spielberg’s cinematic masterpiece E.T. The Extra-Terrestrial with John Williams’ Academy Award®-winning score performed live to picture by the Santa Rosa Symphony, and experience the magic once more!<BR><BR>Director Steven Spielberg')"
28 Sep 2023, Denmark,,Aarhus,"The Lord of The Rings in Concert ""The Return of The King""","return overlib('Howard Shore - The Lord of The Rings: The Return of The King<BR><BR>The music house transforms into Denmark\'s largest cinema in 2020, where the last film in the Lord\'s Trilogy of the Ring occupies the house\'s largest hall, which becomes Denmark\'s largest cinema.<BR><BR>It will be all good times ')"
28 Sep 2023, Taiwan,,Taipei,The World of Hans Zimmer - A Symphonic Celebration,"return overlib('\""The World of Hans Zimmer - A Symphonic Celebration\""<BR>The show presents a selection of the greatest works of the composer adapted for a symphonic orchestra. Hans Zimmer himself spent several months transforming his soundtracks into classical concert pieces. Although he does not perform')"
29 Sep 2023, Denmark,,Aarhus,"The Lord of The Rings in Concert ""The Return of The King""","return overlib('Howard Shore - The Lord of The Rings: The Return of The King<BR><BR>The music house transforms into Denmark\'s largest cinema in 2020, where the last film in the Lord\'s Trilogy of the Ring occupies the house\'s largest hall, which becomes Denmark\'s largest cinema.<BR><BR>It will be all good times ')"
